0,Run,Distance,Length,Counts
1,1,2.418586853997073,3.388686623393645,11
2,2,3.5399440255769705,159.22320689896588,19
3,3,2.7553368855219866,120.25842149553647,18
4,4,2.247041963185777,2.831714546097986,15
5,5,2.7089263676863857,3.0547808318954797,12
6,6,2.562716868531528,3.103337125280456,22
7,7,2.036566787800343,2.3929751216241044,7
8,8,1.7659965290849824,2.188461483776902,3
9,9,0.49244173718714246,123.03773106493904,28
10,10,2.5896468205640897,2.933549638024275,16
11,11,2.457944247064046,3.0889075152685312,9
12,12,1.491993944687096,2.795664949745844,11
13,13,3.1761120021397233,3.9062827037045373,9
14,14,2.5534281753047696,3.008850586354445,8
15,15,2.353128330079398,163.61519820927685,34
16,16,2.583250192777154,2.993773943902618,12
17,17,1.5702237290197094,2.6046888649496243,5
18,18,2.989813539023096,3.5543803479692264,8
19,19,1.853569119718564,3.51710993222485,6
20,20,3.1015910190571367,3.365014197485974,16
21,21,1.4842928391194412,3.3846056311741606,4
22,22,1.991214288418562,3.636705881233963,14
23,23,2.24325007232871,3.48065079209598,8
24,24,2.8263740714134076,3.616854001571216,7
25,25,2.2063252477819315,3.870273342638725,7
26,26,2.324295396224676,2.9984769323611626,6
27,27,2.772981102265393,3.932848476682223,13
28,28,1.5755067724794205,3.4887646119000957,9
29,29,2.8620862444991655,3.5600415397022505,3
30,30,3.173361692047731,3.6506254974184578,17
31,31,2.90478522969958,3.3211441715735948,6
32,32,2.1424407536363366,3.0007170361323476,12
33,33,1.9931518055532702,3.6044087092682187,16
34,34,1.696423068802403,3.425866660752792,12
35,35,2.9146929606392047,3.549219116057612,10
36,36,2.6131466985688765,3.4941197679322604,14
37,37,2.593882707385327,3.151795405251561,6
38,38,2.596963741030908,3.5313082059359178,4
39,39,2.5327477785415584,2.9116252069616824,8
40,40,2.540215658203452,3.42847522944864,12
41,41,3.1193121288235797,3.6930014094253125,12
42,42,2.6141230695624653,3.5159034030627456,10
43,43,2.6643739731695786,3.4161408088075857,18
44,44,0.9067386698842943,3.584970542229748,7
45,45,2.602494879690253,3.625928909870274,13
46,46,2.0637106567284595,3.042207118896337,2
47,47,2.147040322034956,3.0880527528550803,15
48,48,2.7875734009488995,3.7695151462984855,5
49,49,2.876772152199137,3.1192044966269483,21
50,50,2.634690374502303,3.6080053907619147,9
51,51,2.894184591200916,3.935660415464945,6
52,52,0.9996894539698267,1.9571756607491155,10
53,53,2.3621967098608923,3.9831460134082386,14
54,54,2.293082747105828,3.3768831786088542,16
55,55,1.0842403893946813,3.5578837108020065,8
56,56,2.6942483886811193,3.980117762763691,13
57,57,2.164339600076562,270.9707108574125,32
58,58,2.3938454874636785,3.2509298781812843,5
59,59,2.8258463677751493,3.378110337101552,14
60,60,3.152756530362925,3.950530674829311,19
61,61,1.7463263256182238,3.6278668043484066,13
62,62,3.066987332745931,3.8235232177919287,11
63,63,2.556031398746161,3.321206798027338,10
64,64,2.5750643371694544,2.988211761711379,14
65,65,2.8678352360924095,3.4349822879415495,6
66,66,2.532209338236325,3.460121227281902,5
67,67,1.8529521820862462,2.5905567592324474,5
68,68,2.341321055028929,2.696898285965789,14
69,69,2.412037919435969,3.1699142275586345,13
70,70,2.6529254843661567,3.3361106537142193,7
71,71,2.953993825941916,3.615073997729527,9
72,72,2.40040914832153,3.497581077324084,14
73,73,1.6130278519904122,3.2379376837478078,8
74,74,1.33759583507323,3.2449246097940936,3
75,75,1.3126446908071354,3.7076028835864836,6
76,76,2.109842442341713,3.5339418359633985,12
77,77,2.9266585290668528,3.384694475531435,13
78,78,2.8525725338338996,3.322893447269887,5
79,79,1.6159392602138982,3.494655541451371,15
80,80,2.5159121899723753,3.0837886465057216,6
81,81,2.0750226362040634,3.65690084921292,9
82,82,2.44155482823361,3.3107568240405567,8
83,83,2.155614756955947,3.7709133216406165,9
84,84,1.173626973270307,3.0259449762097987,10
85,85,2.24339628516164,3.0903865346077213,9
86,86,2.8465970119043735,3.9693051711673606,20
87,87,3.0536026623507873,3.58783149533452,4
88,88,2.5903585321531257,3.573328903615601,8
89,89,2.5380481460337214,3.646052425435039,15
90,90,2.396340011192296,3.4919780950596757,19
91,91,2.9031611464657923,4.0334491521796245,23
92,92,2.4464123173683463,3.6317392487791,5
93,93,2.422479030664994,3.8843697416422294,14
94,94,2.9071648611301657,4.061646270342966,19
95,95,2.7479346107469858,3.514744469967976,4
96,96,1.509009500630564,1.9682501142192035,3
97,97,2.413136884519765,3.4049001027828405,14
98,98,2.6370562095611154,3.627804715851661,16
99,99,1.3132528370741294,3.878980445952105,7
100,100,1.5048511578076005,2.7215559389874113,3
101,101,1.8195681983994463,3.1977292573239087,6
102,102,0.6912686335896047,3.9455991045889607,4
103,103,2.752056226444521,3.3240472417078797,18
104,104,1.2592164665808534,3.2456240041930258,17
105,105,2.696097982789474,3.138303265806707,10
106,106,2.707414080878364,4.135540658928544,11
107,107,2.6500539471922684,3.7870762305268997,17
108,108,2.062115103446692,3.5075899211762356,9
109,109,2.4961176474887963,2.943112106207573,12
110,110,2.7455897719390117,3.537607731401898,16
111,111,2.697231647951132,3.237471009248499,7
112,112,2.828698763423855,3.619637059651979,7
113,113,1.9427599843144316,2.851157215547928,7
114,114,2.246734271365664,3.5378579670555963,10
115,115,2.1332392886171965,162.18977761841592,12
